source,translation
Sync billable entries only,Sincronitza només les entrades cobrables
Sync completed with errors,Sincronització completada amb errors
Sync complete,Sincronització completa
Sync interval,Interval de sincronització
Sync mode,Mode de sincronització
Synced to ERPNext,Sincronitzat amb ERPNext
Syncing entries to ERPNext…,Sincronitzant entrades amb ERPNext…
{0} day(s) synced.,{0} dia/dies sincronitzat(s).
Tag,Etiqueta
Tag management,Gestió d'etiquetes
Tag Name,Nom de l'etiqueta
Tag renamed. {0} entries updated.,Etiqueta reanomenada. {0} entrades actualitzades.
Tags,Etiquetes
Tags merged. {0} entries re-tagged.,Etiquetes fusionades. {0} entrades reetiquetades.
Task,Tasca
Test connection,Prova la connexió
Test Connection,Prova la connexió
This entry is locked,Aquesta entrada està bloquejada
This month,Aquest mes
This week,Aquesta setmana
Thu,Dj
Time Bridge,Pont de temps
Time Entries,Entrades de temps
Timer already running,El temporitzador ja està en marxa
Timer is already running,El temporitzador ja està en marxa
Timer is not paused,El temporitzador no està en pausa
Timer is not running,El temporitzador no està en marxa
To,Fins a
Today,Avui
Total,Total
Total billable,Total cobrable
Tue,Dm
Unknown error,Error desconegut
Unassigned,Sense assignar
(untagged project),(projecte sense etiqueta)
View entry →,Veure entrada →
Warning: This entry is more than 7 days old.,Avís: Aquesta entrada té més de 7 dies.
Wed,Dc
Week {0},Setmana {0}
What are you working on?,En què estàs treballant?
What did you work on?,En què has treballat?
Work Days,Dies laborables
Yesterday,Ahir
draft,esborrany
entries this month,entrades aquest mes
no entries,sense entrades
no entries yet,encara sense entrades
sent,enviat
+{0} more,+{0} més
← from {0},← des de {0}
[Auto-stopped after {0}h],[Aturat automàticament després de {0}h]
Entry Type,Tipus d'entrada
Fri,Dv
Keyboard Shortcuts,Dreceres de teclat
Start / Pause / Resume timer,Inicia / Pausa / Reprèn temporitzador
Stop timer,Atura temporitzador
New entry (focus quick-add bar),Nova entrada (enfoca la barra d'afegir ràpid)
Previous / next day or week,Dia o setmana anterior / següent
Show / hide this overlay,Mostra / amaga aquesta superposició
Press H or Esc to close,Prem H o Esc per tancar
Close,Tanca
Timer,Temporitzador
Entries,Entrades
This week at a glance,Aquesta setmana d'un cop d'ull
Time by tag,Temps per etiqueta
Hours per day,Hores per dia
No entries this week,Cap entrada aquesta setmana
No entries,Sense entrades
Untagged,Sense etiqueta
Monthly Budget (h),Pressupost mensual (h)
Warn at (%),Avís al (%)
0 = no limit,0 = sense límit
0 = site default,0 = per defecte del lloc
Approaching limit,S'acosta al límit
Budget exceeded,Pressupost superat
budget used this month,pressupost gastat aquest mes
used this month,gastat aquest mes
of,de
Focus,Concentració
Start Focus,Inicia concentració
End focus,Finalitza concentració
Skip break,Omet pausa
Break over,Pausa acabada
Time to focus!,Hora de concentrar-se!
Session complete,Sessió completa
Focus complete!,Concentració completa!
All sessions done. Great work!,Totes les sessions fetes. Bon treball!
sessions done. Great work!,sessions fetes. Bon treball!
Start new,Inicia nova
Work in focused sessions with timed breaks.,Treballa en sessions de concentració amb pauses temporitzades.
Session,Sessió
Break,Pausa
Work (min),Treball (min)
Break (min),Pausa (min)
Sessions,Sessions
No break is active,Cap pausa activa
No focus session is running,Cap sessió de concentració en marxa
Context,Context
Contact,Contacte
Context Type,Tipus de context
For whom?,Per a qui?
Working on?,En què treballes?
Search contacts...,Cerca contactes...
Select type...,Selecciona el tipus...
All contacts,Tots els contactes
All projects,Tots els projectes
(no contact),(sense contacte)
(no project),(sense projecte)
(no task),(sense tasca)
Filter by:,Filtra per:
Time by contact,Temps per contacte
Time by context,Temps per context
Time by task,Temps per tasca
Contact hours summary,Resum d'hores per contacte
