source,translation
No focus session is running,Ii oktage fokussesšuvdna johte
Context,Konteavsta
Contact,Oktavuohta
Context Type,Konteavstašládja
For whom?,Geasa?
Working on?,Mainna barggat?
Search contacts...,Oza oktavuođaid...
Select type...,Vállje šlája...
All contacts,Buot oktavuođat
All projects,Buot prošeavttat
(no contact),(ii oktavuohta)
(no project),(ii prošeakta)
(no task),(ii bargu)
Filter by:,Sille mielde:
Time by contact,Áigi oktavuođa mielde
Time by context,Áigi konteavstta mielde
Time by task,Áigi barggu mielde
Contact hours summary,Oktavuohtadiibmuid oppalašgeahčči
