source,translation
"budget used this month","budget brugt denne måned"
"used this month","brugt denne måned"
of,af
Focus,Fokus
"Start Focus","Start fokus"
"End focus","Afslut fokus"
"Skip break","Spring pause over"
"Break over","Pause slut"
"Time to focus!","Tid til at fokusere!"
"Session complete","Session fuldført"
"Focus complete!","Fokus fuldført!"
"All sessions done. Great work!","Alle sessioner fuldført. Godt arbejde!"
"sessions done. Great work!","sessioner fuldført. Godt arbejde!"
"Start new","Start ny"
"Work in focused sessions with timed breaks.","Arbejd i fokuserede sessioner med tidsbestemte pauser."
Session,Session
Break,Pause
"Work (min)","Arbejde (min)"
"Break (min)","Pause (min)"
Sessions,Sessioner
"No break is active","Ingen pause er aktiv"
"No focus session is running","Ingen fokussession kører"
Context,Kontekst
Contact,Kontakt
"Context Type","Konteksttype"
"For whom?","For hvem?"
"Working on?","Arbejder på?"
"Search contacts...","Søg kontakter..."
"Select type...","Vælg type..."
"All contacts","Alle kontakter"
"All projects","Alle projekter"
"(no contact)","(ingen kontakt)"
"(no project)","(intet projekt)"
"(no task)","(ingen opgave)"
"Filter by:","Filtrer efter:"
"Time by contact","Tid pr. kontakt"
"Time by context","Tid pr. kontekst"
"Time by task","Tid pr. opgave"
"Contact hours summary","Kontakttimeoversigt"
