source,translation
Prepare Summary,Achoimre ullmhúcháin
Project,Tionscadal
Rate,Ráta
Rename,Athainmnigh
Resume,Atosaigh
Saved — {0},Sábháilte — {0}
Save,Sábháil
Sat,Sat
Scheduled,Sceidealta
Send,Seol
Settings,Socruithe
Show weekends,Taispeáin deirí seachtaine
Start time,Am tosaithe
Start Timer,Tosaigh amadóir
"Start timer: ""{0}""","Tosaigh amadóir: ""{0}"""
"Stop current & start: ""{0}""","Stop an ceann reatha agus tosaigh: ""{0}"""
Started yesterday,Tosaithe inné
Sun,Dom
Sync all unsynced entries,Sioncronaigh na hiontrálacha neamh-shioncronaithe go léir
Sync billable entries only,Sioncronaigh iontrálacha inbhilleáilte amháin
Sync completed with errors,Sioncronú críochnaithe le hearráidí
Sync complete,Sioncronú críochnaithe
Sync interval,Eatramh sioncronaithe
Sync mode,Mód sioncronaithe
Synced to ERPNext,Sioncronaithe le ERPNext
Syncing entries to ERPNext…,Iontrálacha á sioncronú le ERPNext…
{0} day(s) synced.,{0} lá sioncronaithe.
Tag,Clib
Tag management,Bainistíocht clibeanna
Tag Name,Ainm an chlib
Tag renamed. {0} entries updated.,Clib athainmnithe. {0} iontráil nuashonraithe.
Tags,Clibeanna
Tags merged. {0} entries re-tagged.,Clibeanna cumaiscthe. {0} iontráil athchlibeáilte.
Task,Tasc
Test connection,Tástáil ceangal
Test Connection,Tástáil ceangal
This entry is locked,Tá an iontráil seo glasáilte
This month,An mhí seo
This week,An tseachtain seo
Thu,Déa
Time Bridge,Droichead ama
Time Entries,Iontrálacha ama
Timer already running,Amadóir ag rith cheana féin
Timer is already running,Tá an t-amadóir ag rith cheana féin
Timer is not paused,Níl an t-amadóir ar sos
Timer is not running,Níl an t-amadóir ag rith
To,Go dtí
Today,Inniu
Total,Iomlán
Total billable,Iomlán inbhilleáilte
Tue,Mái
Unknown error,Earráid anaithnid
Unassigned,Gan sannta
(untagged project),(tionscadal gan chlib)
View entry →,Féach ar iontráil →
Warning: This entry is more than 7 days old.,Rabhadh: Tá an iontráil seo níos sine ná 7 lá.
Wed,Céa
Week {0},Seachtain {0}
What are you working on?,Cad air a bhfuil tú ag obair?
What did you work on?,Cad air a d'oibrigh tú?
Work Days,Laethanta oibre
Yesterday,Inné
draft,dréacht
entries this month,iontrálacha an mhí seo
no entries,gan iontrálacha
no entries yet,gan iontrálacha fós
sent,seolta
+{0} more,+{0} eile
← from {0},← ó {0}
[Auto-stopped after {0}h],[Uath-stoptha tar éis {0}u]
Entry Type,Cineál iontráil
Fri,Aoi
Keyboard Shortcuts,Aicearraí méarchláir
Start / Pause / Resume timer,Tosaigh / Cuir ar sos / Atosaigh amadóir
Stop timer,Stop amadóir
New entry (focus quick-add bar),Iontráil nua (fócas ar bharra mear-chur leis)
Previous / next day or week,Lá nó seachtain roimhe / ina dhiaidh
Show / hide this overlay,Taispeáin / folaigh an forleagan seo
Press H or Esc to close,Brúigh H nó Esc chun dúnadh
Close,Dún
Timer,Amadóir
Entries,Iontrálacha
This week at a glance,An tseachtain seo ag féachaint
Time by tag,Am de réir clib
Hours per day,Uaireanta in aghaidh an lae
No entries this week,Gan iontrálacha an tseachtain seo
No entries,Gan iontrálacha
Untagged,Gan chlib
Monthly Budget (h),Buiséad míosúil (u)
Warn at (%),Rabhadh ag (%)
0 = no limit,0 = gan teorainn
0 = site default,0 = réamhshocrú an tsuímh
Approaching limit,Ag druidim leis an teorainn
Budget exceeded,Buiséad sáraithe
budget used this month,buiséad úsáidte an mhí seo
used this month,úsáidte an mhí seo
of,de
Focus,Fócas
Start Focus,Tosaigh fócas
End focus,Críochnaigh fócas
Skip break,Scipeáil sos
Break over,Sos thart
Time to focus!,Am díriú isteach!
Session complete,Seisiún críochnaithe
Focus complete!,Fócas críochnaithe!
All sessions done. Great work!,Gach seisiún déanta. Obair iontach!
sessions done. Great work!,seisiún déanta. Obair iontach!
Start new,Tosaigh ceann nua
Work in focused sessions with timed breaks.,Oibrigh i seisiúin dhírithe le sosanna ama.
Session,Seisiún
Break,Sos
Work (min),Obair (nóim)
Break (min),Sos (nóim)
Sessions,Seisiúin
No break is active,Níl aon sos gníomhach
No focus session is running,Níl aon seisiún fócais ag rith
Context,Comhthéacs
Contact,Teagmháil
Context Type,Cineál comhthéacs
For whom?,Cé dó?
Working on?,Ag obair ar?
Search contacts...,Cuardaigh teagmhálacha...
Select type...,Roghnaigh cineál...
All contacts,Gach teagmháil
All projects,Gach tionscadal
(no contact),(gan teagmháil)
(no project),(gan tionscadal)
(no task),(gan tasc)
Filter by:,Scag de réir:
Time by contact,Am de réir teagmhála
Time by context,Am de réir comhthéacs
Time by task,Am de réir taisc
Contact hours summary,Achoimre uaireanta teagmhála
